City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mogocha,53.7333,119.7667,-13.91,99,100,1.37,RU,1707675396
83,serafimovskiy,54.4241,53.7964,-24.44,100,51,2.03,RU,1707675396
84,progreso,21.2833,-89.6667,32.06,67,64,4.85,MX,1707675396
85,bel ombre,-4.6167,55.4167,29.91,70,40,8.23,SC,1707675396
86,union de tula,19.9667,-104.2667,24.57,23,85,3.13,MX,1707675396
87,buala,-8.145,159.5921,26.05,85,92,2.98,SB,1707675396
88,angaur state,6.906,134.13,27.41,80,88,9.33,PW,1707675396
89,shakiso,5.75,38.9167,20.6,59,96,2.0,ET,1707675396
90,thompson,55.7435,-97.8558,-11.91,85,100,2.57,CA,1707675348
91,papao,-17.75,-149.55,26.82,85,99,8.16,PF,1707675396
92,cidreira,-30.1811,-50.2056,27.84,70,41,6.51,BR,1707675397
93,mount gambier,-37.8333,140.7667,12.82,96,14,1.64,AU,1707675397
94,bandarbeyla,9.4942,50.8122,25.94,75,11,4.49,SO,1707675397
95,geraldton,-28.7667,114.6,19.23,94,75,0.0,AU,1707675353
96,madimba,-10.4,40.3333,27.32,85,78,3.21,TZ,1707675340
97,jamestown,42.097,-79.2353,1.8,81,100,2.68,US,1707675218
98,aswan,24.0934,32.907,20.23,20,0,2.92,EG,1707675397
99,bundi,25.4417,75.6417,15.28,31,1,1.96,IN,1707675397
100,agat village,13.3886,144.6585,26.52,77,40,6.17,GU,1707675397
101,ouesso,1.6136,16.0517,29.53,24,97,0.17,CG,1707675383
102,amos,48.5669,-78.1162,-5.26,83,100,3.66,CA,1707675397
103,san antonio,29.4241,-98.4936,19.15,65,0,6.17,US,1707675211
104,lospalos,-8.5186,127.0025,24.1,90,89,5.13,TL,1707675397
105,flin flon,54.7682,-101.865,-8.09,86,100,2.06,CA,1707675397
106,petrozavodsk,61.7849,34.3469,-24.18,83,97,0.0,RU,1707675398
107,la serena,-29.9078,-71.2542,20.73,73,75,4.12,CL,1707675277
108,yellowknife,62.456,-114.3525,-8.66,87,20,1.03,CA,1707675398
109,huarmey,-10.0681,-78.1522,27.37,72,84,5.96,PE,1707675270
110,betioky,-23.7167,44.3833,24.55,87,100,2.82,MG,1707675398
111,alice springs,-23.7,133.8833,26.79,60,40,0.89,AU,1707675398
112,hermanus,-34.4187,19.2345,23.22,47,3,3.66,ZA,1707675287
113,san patricio,28.017,-97.5169,26.97,54,83,8.4,US,1707675278
114,brokopondo,4.75,-55.1667,32.95,43,3,0.27,SR,1707675398
115,new norfolk,-42.7826,147.0587,14.95,96,100,1.25,AU,1707675260
116,saint-francois,46.4154,3.9054,7.69,82,93,2.06,FR,1707675398
117,wailua homesteads,22.0669,-159.378,20.24,89,0,3.6,US,1707675398
118,igarka,67.4667,86.5833,-27.17,82,31,3.47,RU,1707675398
119,ta`u,-14.2336,-169.5144,28.52,81,100,5.52,AS,1707675398
120,saint-philippe,-21.3585,55.7679,27.77,91,69,2.49,RE,1707675284
121,shuangjiang,26.1547,109.7138,8.68,73,19,1.15,CN,1707675344
122,nchelenge,-9.3451,28.734,22.39,84,93,0.71,ZM,1707675398
123,uruzgan,32.8333,66.0,7.19,28,99,1.73,AF,1707675398
124,hilo,19.7297,-155.09,23.12,92,100,3.09,US,1707675399
125,bredasdorp,-34.5322,20.0403,19.78,72,2,5.71,ZA,1707675282
126,merizo village,13.2658,144.6691,26.31,82,99,7.84,GU,1707675399
127,vilyuchinsk,52.9306,158.4028,-16.71,85,46,4.1,RU,1707675399
128,severobaykal'sk,55.65,109.3167,-10.83,81,83,3.23,RU,1707675399
129,constantia,44.1833,28.65,13.38,69,100,9.02,RO,1707675399
130,norrtalje,59.758,18.705,-2.77,89,100,4.04,SE,1707675399
131,dunedin,-45.8742,170.5036,12.11,78,100,0.89,NZ,1707675399
132,gadzhiyevo,69.2551,33.3362,-16.84,94,100,3.18,RU,1707675399
133,guerrero negro,27.9769,-114.0611,16.31,39,0,4.28,MX,1707675399
134,beau vallon,-20.4189,57.6953,27.34,89,75,4.12,MU,1707675399
135,luderitz,-26.6481,15.1594,19.32,85,1,2.44,NA,1707675263
136,homer,59.6425,-151.5483,-0.07,84,56,3.12,US,1707675400
137,pandan,14.0453,124.1694,24.26,75,92,9.29,PH,1707675400
138,armacao de buzios,-22.7469,-41.8817,36.03,73,13,10.6,BR,1707675400
139,kingscliff,-28.2667,153.5667,24.89,73,40,5.14,AU,1707675400
140,malakal,9.5334,31.6605,32.55,14,59,4.38,SS,1707675400
141,cooma,-36.2333,149.1333,17.13,81,0,1.49,AU,1707675400
142,hagere maryam,5.6333,38.2333,17.69,75,99,0.11,ET,1707675380
143,popondetta,-8.7537,148.2534,23.38,96,68,1.53,PG,1707675400
144,kobryn,52.2138,24.3564,5.65,93,100,5.25,BY,1707675400
145,kerikeri,-35.2268,173.9474,11.06,89,6,1.99,NZ,1707675400
146,port mathurin,-19.6833,63.4167,27.36,83,100,7.78,MU,1707675400
147,west island,-12.1568,96.8225,27.99,78,40,4.63,CC,1707675263
148,port lincoln,-34.7333,135.8667,17.72,91,0,2.43,AU,1707675158
149,aitape,-3.1374,142.3475,25.38,92,100,2.49,PG,1707675400
150,sandnessjoen,66.0217,12.6316,-3.94,50,0,4.12,NO,1707675400
151,beloyarskiy,63.7119,66.6722,-31.11,100,77,1.79,RU,1707675401
152,ma'rib,15.4591,45.3253,26.39,31,83,1.82,YE,1707675401
153,georgetown,5.4112,100.3354,27.96,61,20,3.6,MY,1707675165
154,vadso,70.0744,29.7487,-11.91,85,100,4.12,NO,1707675401
155,castelo do piaui,-5.3222,-41.5525,31.79,50,100,1.91,BR,1707675401
156,koksan,38.7819,126.6664,-2.97,80,2,0.4,KP,1707675401
157,sittwe,20.15,92.9,19.73,64,0,3.42,MM,1707675401
158,plettenberg bay,-34.0527,23.3716,19.5,84,3,4.88,ZA,1707675401
159,peace river,56.2501,-117.286,1.17,55,75,5.14,CA,1707675106
160,anadyr,64.75,177.4833,-26.67,82,40,6.0,RU,1707675272
161,newman,37.3138,-121.0208,12.35,77,30,0.89,US,1707675401
162,vorgashor,67.5833,63.95,-30.05,100,100,2.06,RU,1707675267
163,vila do maio,15.1333,-23.2167,27.44,75,0,5.95,CV,1707675401
164,craig,40.5153,-107.5464,-7.21,79,0,0.0,US,1707675305
165,kismayo,-0.3582,42.5454,26.72,84,17,7.16,SO,1707675401
166,nar'yan-mar,67.6713,53.087,-30.5,100,42,1.79,RU,1707675402
167,talnakh,69.4865,88.3972,-31.96,83,21,0.63,RU,1707675402
168,rosetta,31.4044,30.4164,15.62,76,100,5.85,EG,1707675402
169,kencong,-8.2833,113.3667,24.88,89,100,0.96,ID,1707675402
170,ilulissat,69.2167,-51.1,-16.99,71,75,4.12,GL,1707675402
171,anloga,5.7947,0.8973,28.08,84,55,5.85,GH,1707675402
172,lhasa,29.65,91.1,-0.85,43,57,1.54,CN,1707675402
173,xiannu,32.4367,119.5508,6.61,69,0,2.67,CN,1707675402
174,goundi,9.3627,17.366,32.65,12,22,1.69,TD,1707675402
175,puerto baquerizo moreno,-0.9,-89.6,28.55,79,75,4.63,EC,1707675402
176,ji'an,27.1172,114.9793,9.33,74,0,0.98,CN,1707675403
177,at taraf,25.3628,49.725,15.3,83,59,5.66,SA,1707675403
178,liepaja,56.5419,21.0367,0.99,86,100,6.17,LV,1707675403
179,misliyah,17.4599,42.5572,27.14,59,48,1.0,SA,1707675403
180,al jawf,29.5,38.75,13.53,35,0,3.53,SA,1707675403
181,aasiaat,68.7098,-52.8699,-22.89,98,100,5.78,GL,1707675403
182,tidjikja,18.5564,-11.4271,30.66,22,0,3.54,MR,1707675403
183,hammerfest,70.6634,23.6821,-1.75,93,75,0.0,NO,1707675403
184,burang,30.25,81.1667,-12.94,62,1,0.21,CN,1707675403
185,antsiranana,-12.2787,49.2917,25.14,91,100,4.2,MG,1707675403
186,ust-nera,64.5667,143.2,-33.39,100,100,1.14,RU,1707675403
187,pionerskiy,54.9508,20.2275,2.91,97,100,8.01,RU,1707675403
188,arawa,-6.2132,155.5367,25.29,90,100,1.04,PG,1707675403
189,sydney,-33.8679,151.2073,21.61,79,100,3.09,AU,1707674791
